City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
62,tasiilaq,65.6145,-37.6368,-10.610000000000014,53,60,7.97,GL,2023-1-27
63,banda,25.4833,80.3333,20.350000000000023,47,0,2.92,IN,2023-1-27
64,saint george,37.1041,-113.5841,1.4800000000000182,80,0,0.0,US,2023-1-27
65,agadez,19.75,10.25,31.779999999999973,8,100,1.59,NE,2023-1-27
66,jamestown,42.097,-79.2353,-0.07999999999998408,97,100,4.92,US,2023-1-27
67,sobolevo,54.4299,31.8996,0.22000000000002728,95,96,1.82,RU,2023-1-27
68,isabela,6.7085,121.9711,28.410000000000025,87,100,1.19,PH,2023-1-27
69,saskylakh,71.9167,114.0833,-33.879999999999995,93,21,6.71,RU,2023-1-27
70,dikson,73.5069,80.5464,-15.289999999999992,88,100,6.08,RU,2023-1-27
71,talnakh,69.4865,88.3972,-15.210000000000008,96,100,3.8,RU,2023-1-27
72,port alfred,-33.5906,26.891,27.689999999999998,86,35,1.34,ZA,2023-1-27
73,ust-kuyga,70.0167,135.6,-43.72999999999999,99,96,0.99,RU,2023-1-27
74,sao filipe,14.8961,-24.4956,27.30000000000001,68,100,3.67,CV,2023-1-27
75,lincoln,40.8,-96.667,7.199999999999989,79,40,4.63,US,2023-1-27
76,khatanga,71.9667,102.5,-24.0,87,57,6.52,RU,2023-1-27
77,porto de moz,-1.7483,-52.2383,32.44999999999999,60,77,1.94,BR,2023-1-27
78,vao,-22.6667,167.4833,28.44999999999999,72,65,3.99,NC,2023-1-27
79,xining,36.6167,101.7667,-4.8799999999999955,35,7,0.54,CN,2023-1-27
80,hasaki,35.7333,140.8333,5.529999999999973,94,99,12.63,JP,2023-1-27
81,corrales,35.2378,-106.6067,0.75,56,0,2.24,US,2023-1-27
82,yulara,-25.2406,130.9889,28.930000000000007,62,100,5.2,AU,2023-1-27
83,taoudenni,22.6783,-3.9836,22.160000000000025,11,11,2.78,ML,2023-1-27
84,bambous virieux,-20.3428,57.7575,29.939999999999998,89,75,1.54,MU,2023-1-27
85,atar,20.5169,-13.0499,29.25999999999999,9,100,5.7,MR,2023-1-27
86,komsomolskiy,40.4272,71.7189,2.5500000000000114,59,100,0.0,UZ,2023-1-27
87,taraz,42.9,71.3667,-8.620000000000005,79,14,1.0,KZ,2023-1-27
88,castro,-24.7911,-50.0119,27.129999999999995,57,0,1.0,BR,2023-1-27
89,portland,45.5234,-122.6762,9.839999999999975,95,100,4.02,US,2023-1-27
90,lebu,-37.6167,-73.65,19.129999999999995,64,0,7.55,CL,2023-1-27
91,faanui,-16.4833,-151.75,30.029999999999973,75,78,5.36,PF,2023-1-27
92,nanortalik,60.1432,-45.2371,2.6100000000000136,95,100,12.35,GL,2023-1-27
93,rabo de peixe,37.8,-25.5833,15.879999999999995,82,40,4.63,PT,2023-1-27
94,quang ngai,15.1167,108.8,23.670000000000016,90,100,5.99,VN,2023-1-27
95,hilo,19.7297,-155.09,24.399999999999977,88,40,1.34,US,2023-1-27
96,saint-philippe,-21.3585,55.7679,31.920000000000016,88,100,3.23,RE,2023-1-27
97,vikhorevka,56.1201,101.1636,-1.079999999999984,89,100,7.16,RU,2023-1-27
98,matagami,49.7502,-77.6328,-19.789999999999992,77,100,2.57,CA,2023-1-27
99,hammerfest,70.6634,23.6821,4.399999999999977,86,75,8.75,NO,2023-1-27
100,kedrovoye,57.1576,60.5698,-1.160000000000025,87,100,4.77,RU,2023-1-27
101,arraial do cabo,-22.9661,-42.0278,32.129999999999995,65,20,5.14,BR,2023-1-27
102,zyryanka,65.75,150.85,-30.620000000000005,91,100,5.31,RU,2023-1-27
103,grindavik,63.8424,-22.4338,6.410000000000025,60,75,15.43,IS,2023-1-27
104,luang prabang,19.8856,102.1347,20.420000000000016,71,0,1.51,LA,2023-1-27
105,kaitangata,-46.2817,169.8464,10.759999999999991,83,30,1.9,NZ,2023-1-27
106,severo-kurilsk,50.6789,156.125,2.430000000000007,91,72,12.55,RU,2023-1-27
107,hofn,64.2539,-15.2082,5.160000000000025,64,20,6.69,IS,2023-1-27
108,atuona,-9.8,-139.0333,29.060000000000002,77,40,9.83,PF,2023-1-27
109,altay,47.8667,88.1167,-12.600000000000023,64,13,2.81,CN,2023-1-27
110,kavieng,-2.5744,150.7967,30.75999999999999,77,87,5.23,PG,2023-1-27
111,dwarka,22.2394,68.9678,24.170000000000016,48,0,6.8,IN,2023-1-27
112,loughrea,53.1969,-8.5669,9.810000000000002,76,36,2.07,IE,2023-1-27
113,sunbury,-37.5833,144.7333,20.829999999999984,48,0,4.12,AU,2023-1-27
114,avarua,-21.2078,-159.775,29.180000000000007,89,40,2.57,CK,2023-1-27
115,comarapa,-17.9,-64.4833,24.430000000000007,65,100,0.06,BO,2023-1-27
116,georgetown,5.4112,100.3354,31.610000000000014,80,20,1.03,MY,2023-1-27
117,aripuana,-9.1667,-60.6333,29.319999999999993,73,100,0.83,BR,2023-1-27
118,baykit,61.67,96.37,-8.170000000000016,96,100,2.34,RU,2023-1-27
119,aguadilla,18.4275,-67.1541,30.230000000000018,83,15,3.13,PR,2023-1-27
120,talovaya,51.1144,40.73,-2.7200000000000273,89,3,2.05,RU,2023-1-27
121,imbituba,-28.24,-48.6703,33.06999999999999,53,21,6.04,BR,2023-1-27
122,hede,33.7681,120.2517,0.39999999999997726,48,0,2.87,CN,2023-1-27
123,palmer,42.1584,-72.3287,2.9499999999999886,72,11,0.89,US,2023-1-27
124,taft,31.7471,54.2088,2.1200000000000045,93,75,3.09,IR,2023-1-27
125,barreirinhas,-2.7469,-42.8264,32.74000000000001,61,97,4.11,BR,2023-1-27
126,xudat,41.631,48.681,6.4599999999999795,77,8,1.99,AZ,2023-1-27
127,bengkulu,-3.8004,102.2655,28.029999999999973,88,100,4.23,ID,2023-1-27
128,itapirapua,-15.8233,-50.6133,26.00999999999999,91,100,1.18,BR,2023-1-27
129,ribeira grande,38.5167,-28.7,19.370000000000005,63,75,5.66,PT,2023-1-27
130,biak,-0.9131,122.8766,28.139999999999986,82,96,1.73,ID,2023-1-27
131,oktyabrskiy,54.4815,53.471,-4.819999999999993,88,61,5.54,RU,2023-1-27
132,quatre cocos,-20.2078,57.7625,29.870000000000005,86,100,3.12,MU,2023-1-27
133,parambu,-6.2111,-40.6944,33.20999999999998,45,14,3.98,BR,2023-1-27
134,buraydah,26.326,43.975,20.399999999999977,35,0,2.71,SA,2023-1-27
135,clyde river,70.4692,-68.5914,-23.72,76,100,7.72,CA,2023-1-27
